textbox22,Textbox9
generated on 06/03/2020 20:12:16 UTC,Data from: All sites

Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
United Republic of Tanzania,African Region of WHO,Eastern Africa,2005,1,2005-01-03,2005-01-09,,,,,,,,,,,,,,,No Report
United Republic of Tanzania,African Region of WHO,Eastern Africa,2005,2,2005-01-10,2005-01-16,,,,,,,,,,,,,,,No Report
United Republic of Tanzania,African Region of WHO,Eastern Africa,2005,3,2005-01-17,2005-01-23,,,,,,,,,,,,,,,No Report
United Republic of Tanzania,African Region of WHO,Eastern Africa,2005,4,2005-01-24,2005-01-30,,,,,,,,,,,,,,,No Report
United Republic of Tanzania,African Region of WHO,Eastern Africa,2005,5,2005-01-31,2005-02-06,,,,,,,,,,,,,,,No Report
United Republic of Tanzania,African Region of WHO,Eastern Africa,2005,6,2005-02-07,2005-02-13,,,,,,,,,,,,,,,No Report
United Republic of Tanzania,African Region of WHO,Eastern Africa,2005,7,2005-02-14,2005-02-20,,,,,,,,,,,,,,,No Report
United Republic of Tanzania,African Region of WHO,Eastern Africa,2005,8,2005-02-21,2005-02-27,,,,,,,,,,,,,,,No Report
United Republic of Tanzania,African Region of WHO,Eastern Africa,2005,9,2005-02-28,2005-03-06,,,,,,,,,,,,,,,No Report
United Republic of Tanzania,African Region of WHO,Eastern Africa,2005,10,2005-03-07,2005-03-13,,,,,,,,,,,,,,,No Report
United Republic of Tanzania,African Region of WHO,Eastern Africa,2005,11,2005-03-14,2005-03-20,,,,,,,,,,,,,,,No Report
United Republic of Tanzania,African Region of WHO,Eastern Africa,2005,12,2005-03-21,2005-03-27,,,,,,,,,,,,,,,No Report
United Republic of Tanzania,African Region of WHO,Eastern Africa,2005,13,2005-03-28,2005-04-03,,,,,,,,,,,,,,,No Report
United Republic of Tanzania,African Region of WHO,Eastern Africa,2005,14,2005-04-04,2005-04-10,,,,,,,,,,,,,,,No Report
United Republic of Tanzania,African Region of WHO,Eastern Africa,2005,15,2005-04-11,2005-04-17,,,,,,,,,,,,,,,No Report
